# Header: 
#   Title                 : 93-NP-237 Resonance Parameter: WID,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20447-003-3 
#   First Author          : D.Paya 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : (T,PAYA,197210) 
#   Year                  : 1972 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 93 
#   A                     : 237 
#   Isomer                :  
#   Nuclide               : 93-NP-237 
# Reaction: 
#   EXFOR Reaction        : (93-NP-237(N,EL),,WID,,2G) 
#   Incident Energy       : 1.3200e+00 eV - 2.3530e+02 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/204/20447.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20447
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.6679E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.7800E-03          NAN          NAN          NAN          NAN          NAN
   1.6893E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.0500E-03          NAN          NAN          NAN          NAN          NAN
   1.6996E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5800E-03          NAN          NAN          NAN          NAN          NAN
   1.7095E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.8500E-03          NAN          NAN          NAN          NAN          NAN
   1.7225E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.1400E-03          NAN          NAN          NAN          NAN          NAN
   1.7302E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.3800E-03          NAN          NAN          NAN          NAN          NAN
   1.7478E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2600E-03          NAN          NAN          NAN          NAN          NAN
   1.7522E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.8500E-03          NAN          NAN          NAN          NAN          NAN
   1.7620E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.4600E-03          NAN          NAN          NAN          NAN          NAN
   1.7685E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.4400E-03          NAN          NAN          NAN          NAN          NAN
   1.8007E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.9000E-03          NAN          NAN          NAN          NAN          NAN
   1.8100E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.9200E-03          NAN          NAN          NAN          NAN          NAN
   1.8234E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.3600E-03          NAN          NAN          NAN          NAN          NAN
   1.8323E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.9200E-03          NAN          NAN          NAN          NAN          NAN
   1.8404E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0100E-03          NAN          NAN          NAN          NAN          NAN
   1.8565E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.4200E-04          NAN          NAN          NAN          NAN          NAN
   1.8618E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.1500E-04          NAN          NAN          NAN          NAN          NAN
   1.8793E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.1890E-02          NAN          NAN          NAN          NAN          NAN
   1.8906E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.3500E-03          NAN          NAN          NAN          NAN          NAN
   1.9062E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0700E-03          NAN          NAN          NAN          NAN          NAN
   1.9163E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2400E-03          NAN          NAN          NAN          NAN          NAN
   1.9352E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.3300E-03          NAN          NAN          NAN          NAN          NAN
   1.9447E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.3200E-03          NAN          NAN          NAN          NAN          NAN
   1.9567E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0000E-03          NAN          NAN          NAN          NAN          NAN
   1.9657E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5480E-02          NAN          NAN          NAN          NAN          NAN
   1.9844E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.7300E-04          NAN          NAN          NAN          NAN          NAN
   1.9982E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2800E-03          NAN          NAN          NAN          NAN          NAN
   2.0078E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.2700E-03          NAN          NAN          NAN          NAN          NAN
   2.0294E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.3000E-04          NAN          NAN          NAN          NAN          NAN
   2.0422E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.2500E-03          NAN          NAN          NAN          NAN          NAN
   2.0560E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2800E-03          NAN          NAN          NAN          NAN          NAN
   2.0658E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.6500E-03          NAN          NAN          NAN          NAN          NAN
   2.0785E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.3900E-03          NAN          NAN          NAN          NAN          NAN
   2.1028E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.0000E-03          NAN          NAN          NAN          NAN          NAN
   2.1302E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.8100E-03          NAN          NAN          NAN          NAN          NAN
   2.1452E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.3400E-03          NAN          NAN          NAN          NAN          NAN
   2.1697E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2930E-02          NAN          NAN          NAN          NAN          NAN
   2.1845E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.1500E-03          NAN          NAN          NAN          NAN          NAN
   2.1923E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.8000E-04          NAN          NAN          NAN          NAN          NAN
   2.2012E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.4300E-03          NAN          NAN          NAN          NAN          NAN
   2.2197E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.1800E-03          NAN          NAN          NAN          NAN          NAN
   2.2420E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.1200E-03          NAN          NAN          NAN          NAN          NAN
   2.2642E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.4050E-02          NAN          NAN          NAN          NAN          NAN
   2.2817E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.2800E-03          NAN          NAN          NAN          NAN          NAN
   2.2900E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.3900E-03          NAN          NAN          NAN          NAN          NAN
   2.3163E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5150E-02          NAN          NAN          NAN          NAN          NAN
   2.3283E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.4800E-03          NAN          NAN          NAN          NAN          NAN
   2.3397E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5600E-03          NAN          NAN          NAN          NAN          NAN
   2.3530E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.6400E-03          NAN          NAN          NAN          NAN          NAN
